instance_name solver_name ext_heuristic solution_value solution_time best_lb root_lb root_time nb_branch_and_bound_nodes
/home/equeirog/VRPSolverEasy/VRPSolverEasy/demos/data/CVRP/E-n33-k4 CPLEX False 835.0000000000002 1.4146626079999998 835.0 835.0 1.40788858 1
/home/equeirog/VRPSolverEasy/VRPSolverEasy/demos/data/CVRP/P-n21-k2 CLP False 211.00000000590276 0.154102553 211.0 211.0 0.150720684 1
/home/equeirog/VRPSolverEasy/VRPSolverEasy/demos/data/CVRP/B-n50-k7 CPLEX False 741.0000000000001 2.1902811779999998 741.0 741.0 2.185946217 1
/home/equeirog/VRPSolverEasy/VRPSolverEasy/demos/data/CVRP/P-n21-k2 CPLEX False 211.0 0.138840289 211.0 211.0 0.135963647 1
/home/equeirog/VRPSolverEasy/VRPSolverEasy/demos/data/CVRP/E-n33-k4 CLP False 835.0000000565508 1.536144027 835.0 835.0 1.532721837 1
/home/equeirog/VRPSolverEasy/VRPSolverEasy/demos/data/CVRP/P-n22-k8 CLP False 590.0 0.077761577 590.0 590.0 0.074808497 1
/home/equeirog/VRPSolverEasy/VRPSolverEasy/demos/data/CVRP/B-n51-k7 CPLEX False 1016.0 2.265410286 1016.0 1016.0 2.257994466 1
/home/equeirog/VRPSolverEasy/VRPSolverEasy/demos/data/CVRP/P-n23-k8 CLP False 529.0000000002533 0.069976462 529.0 529.0 0.06655006499999999 1
/home/equeirog/VRPSolverEasy/VRPSolverEasy/demos/data/CVRP/P-n22-k8 CPLEX False 590.0 0.160967013 590.0 590.0 0.157520393 1
/home/equeirog/VRPSolverEasy/VRPSolverEasy/demos/data/CVRP/P-n22-k2 CPLEX False 216.0 0.215840772 216.0 216.0 0.212225692 1
/home/equeirog/VRPSolverEasy/VRPSolverEasy/demos/data/CVRP/P-n23-k8 CPLEX False 529.0 0.150497424 529.0 529.0 0.14699605200000002 1
/home/equeirog/VRPSolverEasy/VRPSolverEasy/demos/data/CVRP/B-n51-k7 CLP False 1015.9999999999993 2.46118091 1016.0 1016.0 2.454938272 1
/home/equeirog/VRPSolverEasy/VRPSolverEasy/demos/data/CVRP/P-n22-k2 CLP False 216.00000000000006 0.41608571099999997 216.0 216.0 0.41131785 1
/home/equeirog/VRPSolverEasy/VRPSolverEasy/demos/data/CVRP/B-n50-k7 CLP False 740.9999999999999 2.818880413 741.0 741.0 2.811903824 1
/home/equeirog/VRPSolverEasy/VRPSolverEasy/demos/data/CVRP/A-n48-k7 CPLEX False 1072.9999999999989 3.4252977349999996 1073.0 1073.0 3.421423832 1
/home/equeirog/VRPSolverEasy/VRPSolverEasy/demos/data/CVRP/B-n45-k5 CLP False 751.0000000000016 3.424517842 751.0 751.0 3.42093673 1
/home/equeirog/VRPSolverEasy/VRPSolverEasy/demos/data/CVRP/B-n52-k7 CPLEX False 747.0000000000009 3.1647179679999997 747.0 747.0 3.1556414489999995 1
/home/equeirog/VRPSolverEasy/VRPSolverEasy/demos/data/CVRP/B-n34-k5 CLP False 788.0000000000002 3.751112508 788.0 788.0 3.747967182 1
/home/equeirog/VRPSolverEasy/VRPSolverEasy/demos/data/CVRP/B-n45-k6 CLP False 678.0000000000002 3.568045143 678.0 678.0 3.5641024370000003 1
/home/equeirog/VRPSolverEasy/VRPSolverEasy/demos/data/CVRP/P-n19-k2 CPLEX False 212.0 1.666453239 212.0 212.0 1.661689009 1
/home/equeirog/VRPSolverEasy/VRPSolverEasy/demos/data/CVRP/A-n39-k6 CPLEX False 831.0000000000013 4.514002249 831.0 831.0 4.501798385 1
/home/equeirog/VRPSolverEasy/VRPSolverEasy/demos/data/CVRP/B-n45-k5 CPLEX False 750.999999999995 3.975809712 751.0 751.0 3.970453893 1
/home/equeirog/VRPSolverEasy/VRPSolverEasy/demos/data/CVRP/P-n40-k5 CPLEX False 457.99999999999994 1.549088202 458.0 458.0 1.543191476 1
/home/equeirog/VRPSolverEasy/VRPSolverEasy/demos/data/CVRP/B-n52-k7 CLP False 746.9999999999986 3.8974486760000002 747.0 747.0 3.888161811 1
/home/equeirog/VRPSolverEasy/VRPSolverEasy/demos/data/CVRP/A-n45-k6 CPLEX False 944.0000000000002 4.733490723 944.0 944.0 4.725177142 1
/home/equeirog/VRPSolverEasy/VRPSolverEasy/demos/data/CVRP/A-n33-k5 CPLEX True 661.0 0.211144524 661.0 661.0 0.208387356 1
/home/equeirog/VRPSolverEasy/VRPSolverEasy/demos/data/CVRP/A-n33-k5 CLP True 661.0000000000008 0.23622580899999998 661.0 661.0 0.231944525 1
/home/equeirog/VRPSolverEasy/VRPSolverEasy/demos/data/CVRP/A-n33-k6 CPLEX True 742.0000000000006 0.263308361 742.0 742.0 0.260554773 1
/home/equeirog/VRPSolverEasy/VRPSolverEasy/demos/data/CVRP/A-n32-k5 CLP True 784.0000000079035 0.43868752499999997 784.0 784.0 0.435014013 1
/home/equeirog/VRPSolverEasy/VRPSolverEasy/demos/data/CVRP/A-n45-k6 CLP False 943.9999999999774 5.052804353 944.0 944.0 5.043859692 1
/home/equeirog/VRPSolverEasy/VRPSolverEasy/demos/data/CVRP/A-n37-k5 CLP True 668.9999999999995 0.6363366229999999 669.0 669.0 0.633394173 1
/home/equeirog/VRPSolverEasy/VRPSolverEasy/demos/data/CVRP/A-n39-k6 CLP False 830.9998550432092 5.425317722999999 830.9998550432092 831.0 5.41382335 1
/home/equeirog/VRPSolverEasy/VRPSolverEasy/demos/data/CVRP/A-n48-k7 CLP False 1073.0000000008436 5.483441160999999 1073.0 1073.0 5.47939164 1
/home/equeirog/VRPSolverEasy/VRPSolverEasy/demos/data/CVRP/A-n37-k5 CPLEX True 669.0 0.619952215 669.0 669.0 0.616435882 1
/home/equeirog/VRPSolverEasy/VRPSolverEasy/demos/data/CVRP/B-n31-k5 CLP True 672.0000000058275 0.460936243 672.0 672.0 0.45799379 1
/home/equeirog/VRPSolverEasy/VRPSolverEasy/demos/data/CVRP/B-n31-k5 CPLEX True 672.0 0.490136209 672.0 672.0 0.486704771 1
/home/equeirog/VRPSolverEasy/VRPSolverEasy/demos/data/CVRP/A-n33-k6 CLP True 741.9999999999998 1.15181961 742.0 742.0 1.148583232 1
/home/equeirog/VRPSolverEasy/VRPSolverEasy/demos/data/CVRP/A-n39-k5 CLP False 822.0 5.929726518 822.0 822.0 5.925693809 1
/home/equeirog/VRPSolverEasy/VRPSolverEasy/demos/data/CVRP/E-n51-k5 CPLEX False 520.9999999999993 4.506709144 521.0 521.0 4.503085257 1
/home/equeirog/VRPSolverEasy/VRPSolverEasy/demos/data/CVRP/A-n34-k5 CLP True 778.0000000000164 1.347602775 778.0 778.0 1.3434488500000001 1
/home/equeirog/VRPSolverEasy/VRPSolverEasy/demos/data/CVRP/A-n44-k6 CLP True 936.9999999999972 1.187132721 937.0 937.0 1.182805028 1
/home/equeirog/VRPSolverEasy/VRPSolverEasy/demos/data/CVRP/P-n50-k7 CPLEX False 554.0000000000002 2.465987464 554.0 554.0 2.460885994 1
/home/equeirog/VRPSolverEasy/VRPSolverEasy/demos/data/CVRP/P-n51-k10 CPLEX False 741.0000000000002 2.162346323 741.0 741.0 2.1560404120000003 1
/home/equeirog/VRPSolverEasy/VRPSolverEasy/demos/data/CVRP/A-n39-k5 CPLEX False 821.9999999999992 6.2819004519999995 822.0 822.0 6.278003982 1
/home/equeirog/VRPSolverEasy/VRPSolverEasy/demos/data/CVRP/E-n22-k4 CLP True 375.0 0.084033292 375.0 375.0 0.080560272 1
/home/equeirog/VRPSolverEasy/VRPSolverEasy/demos/data/CVRP/E-n22-k4 CPLEX True 375.0 0.079930923 375.0 375.0 0.076365105 1
/home/equeirog/VRPSolverEasy/VRPSolverEasy/demos/data/CVRP/A-n36-k5 CLP True 799.0000000000007 1.604415005 799.0 799.0 1.600633339 1
/home/equeirog/VRPSolverEasy/VRPSolverEasy/demos/data/CVRP/P-n40-k5 CLP False 457.9999511921779 3.186218213 457.9999511921779 458.0 3.180223254 1
/home/equeirog/VRPSolverEasy/VRPSolverEasy/demos/data/CVRP/E-n23-k3 CLP True 569.0 0.273622782 569.0 569.0 0.27056447699999997 1
